epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.749,1.57095,1.30393,1.00276,0.52629,0.25859,0.40321,0.27745,1.3529,1.12673,0.94837,0.0882681,0.00061747,0.00061747
2,510.829,1.57895,1.28622,0.99842,0.48147,0.27196,0.38286,0.25523,1.37087,1.137,0.94898,0.0763882,0.00123757,0.00123757
3,759.479,1.54316,1.2679,0.99074,0.47435,0.27837,0.38467,0.25661,1.35946,1.113,0.95267,0.0644887,0.00183814,0.00183814
4,1012.18,1.56089,1.26919,0.99879,0.46348,0.28087,0.38195,0.25544,1.35162,1.10411,0.94652,0.0525556,0.00240496,0.00240496
5,1266.51,1.62773,1.30446,1.0028,0.48533,0.25587,0.37254,0.25251,1.36162,1.15724,0.95001,0.0405753,0.00292468,0.00292468
6,1520.9,1.60576,1.28247,1.003,0.5187,0.24793,0.38706,0.25327,1.44527,1.15825,0.96722,0.0285357,0.00338513,0.00338513
7,1774.12,1.63161,1.30235,1.01209,0.51478,0.23606,0.37641,0.24483,1.49773,1.16485,0.98299,0.0164263,0.00377567,0.00377567
8,2026.47,1.61694,1.28051,1.00318,0.50137,0.26747,0.39099,0.26065,1.3767,1.1237,0.95404,0.00423809,0.00408749,0.00408749
9,2283.52,1.63295,1.27347,1.00217,0.46081,0.28399,0.37755,0.24856,1.39274,1.12338,0.95539,0.00383968,0.00383968,0.00383968
10,2536.97,1.57767,1.25301,0.99782,0.47693,0.28804,0.39067,0.25996,1.37729,1.12098,0.95075,0.00356459,0.00356459,0.00356459
11,2787.37,1.56096,1.22867,0.9887,0.47248,0.27149,0.37773,0.25702,1.34552,1.0955,0.94872,0.00327272,0.00327272,0.00327272
12,3038.07,1.53202,1.20195,0.98113,0.49524,0.29524,0.40696,0.27168,1.31836,1.06902,0.93743,0.00296866,0.00296866,0.00296866
13,3289.5,1.53034,1.20484,0.98349,0.54985,0.26386,0.41185,0.28243,1.31483,1.06024,0.94251,0.00265721,0.00265721,0.00265721
14,3543.12,1.52255,1.19542,0.98154,0.51144,0.28596,0.40688,0.2811,1.28823,1.03107,0.93147,0.00234329,0.00234329,0.00234329
15,3795.09,1.52139,1.18506,0.97704,0.50753,0.30272,0.41651,0.28435,1.27029,1.01207,0.92965,0.00203184,0.00203184,0.00203184
16,4033.17,1.38491,1.12616,0.96766,0.50822,0.27362,0.39741,0.27282,1.29352,1.04523,0.93792,0.00172778,0.00172778,0.00172778
17,4269.74,1.37085,1.11524,0.96757,0.48939,0.29565,0.40251,0.2764,1.25852,1.02692,0.92616,0.00143591,0.00143591,0.00143591
18,4505.75,1.36669,1.11158,0.96569,0.50929,0.30093,0.41893,0.28511,1.2521,1.0013,0.92779,0.00116082,0.00116082,0.00116082
19,4743.07,1.34602,1.1014,0.96504,0.49695,0.30017,0.40763,0.27606,1.28007,1.0149,0.93083,0.000906849,0.000906849,0.000906849
20,4977,1.31786,1.0685,0.9567,0.53042,0.3119,0.4343,0.29363,1.23319,0.98882,0.92075,0.000678011,0.000678011,0.000678011
21,5213.47,1.36063,1.10274,0.96383,0.54673,0.31701,0.44458,0.30001,1.21651,0.97028,0.91698,0.00047791,0.00047791,0.00047791
22,5448.08,1.3325,1.06351,0.95672,0.54134,0.31726,0.44128,0.29924,1.21657,0.96462,0.91672,0.000309702,0.000309702,0.000309702
23,5684.1,1.34338,1.0787,0.95633,0.53268,0.32332,0.43962,0.3004,1.20388,0.96298,0.91466,0.000176041,0.000176041,0.000176041
24,5921.24,1.31322,1.05636,0.9483,0.53762,0.32609,0.44464,0.29985,1.2017,0.95752,0.91447,7.90342e-05,7.90342e-05,7.90342e-05
25,6157.37,1.325,1.07152,0.95512,0.54064,0.3241,0.44502,0.30193,1.20151,0.95673,0.9139,2.02113e-05,2.02113e-05,2.02113e-05
