epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.008,1.60728,1.22123,0.98965,0.38689,0.26971,0.33028,0.2131,1.44607,1.12322,0.95768,0.0673976,0.000329317,0.000329317
2,506.567,1.64039,1.22849,0.99324,0.49338,0.24689,0.37939,0.25735,1.38398,1.0479,0.94202,0.0343963,0.00066133,0.00066133
3,755.58,1.57623,1.19657,0.98295,0.43323,0.25721,0.34903,0.23308,1.40104,1.09751,0.94815,0.00138967,0.000988061,0.000988061
4,1006.77,1.59677,1.21452,0.99105,0.52318,0.22576,0.37926,0.25243,1.41955,1.12907,0.95895,0.000982162,0.000982162,0.000982162
5,1258.79,1.63887,1.23143,0.99263,0.51055,0.26954,0.40463,0.26829,1.41774,1.03516,0.949,0.000968436,0.000968436,0.000968436
6,1511.82,1.59278,1.20775,0.98676,0.45657,0.28887,0.38805,0.25395,1.38278,1.07424,0.94331,0.00095098,0.00095098,0.00095098
7,1762.38,1.59004,1.21452,0.99283,0.42916,0.29892,0.3675,0.24428,1.3732,1.06113,0.94594,0.000929932,0.000929932,0.000929932
8,2011.49,1.57114,1.18753,0.98379,0.44858,0.2706,0.37311,0.24996,1.3661,1.03108,0.94353,0.000905463,0.000905463,0.000905463
9,2265.21,1.58416,1.17698,0.98395,0.45047,0.29318,0.37895,0.25041,1.3473,1.04172,0.93546,0.00087777,0.00087777,0.00087777
10,2515.09,1.54928,1.16548,0.9789,0.47535,0.2711,0.38205,0.25022,1.39242,1.01701,0.94448,0.000847076,0.000847076,0.000847076
11,2767.95,1.53265,1.13659,0.97473,0.48819,0.29817,0.40533,0.27243,1.29243,0.96776,0.92944,0.000813627,0.000813627,0.000813627
12,3019.1,1.51943,1.11388,0.96862,0.53045,0.29082,0.42597,0.28844,1.30936,0.96383,0.92868,0.000777694,0.000777694,0.000777694
13,3271.91,1.51251,1.11056,0.96982,0.55589,0.28308,0.43126,0.29603,1.33005,0.97306,0.93445,0.000739565,0.000739565,0.000739565
14,3524.79,1.52375,1.11214,0.97181,0.519,0.26692,0.39924,0.2694,1.36958,0.99179,0.93879,0.000699547,0.000699547,0.000699547
15,3777.14,1.52676,1.11147,0.96701,0.5437,0.29561,0.43045,0.2904,1.29538,0.93349,0.92556,0.000657963,0.000657963,0.000657963
16,4029.14,1.50477,1.09145,0.96518,0.49945,0.30782,0.41694,0.28156,1.28194,0.92848,0.92431,0.000615148,0.000615148,0.000615148
17,4281.78,1.49986,1.08919,0.96569,0.47946,0.31819,0.42097,0.28003,1.31129,0.9422,0.9282,0.000571445,0.000571445,0.000571445
18,4533.14,1.47834,1.07912,0.95771,0.5592,0.27989,0.42561,0.2918,1.27082,0.92713,0.9209,0.000527208,0.000527208,0.000527208
19,4785.65,1.47545,1.06851,0.95939,0.53971,0.31071,0.43708,0.29952,1.25472,0.90434,0.91858,0.000482792,0.000482792,0.000482792
20,5036.34,1.45998,1.05851,0.95836,0.53294,0.30972,0.43737,0.2975,1.2454,0.90624,0.91314,0.000438555,0.000438555,0.000438555
21,5288.5,1.48015,1.07572,0.95879,0.508,0.32783,0.43501,0.29652,1.23356,0.87813,0.91239,0.000394852,0.000394852,0.000394852
22,5540.22,1.4469,1.04042,0.95189,0.54818,0.32323,0.45055,0.31011,1.21192,0.86124,0.9075,0.000352037,0.000352037,0.000352037
23,5792.36,1.41706,1.02187,0.95107,0.52423,0.32447,0.44077,0.30207,1.21307,0.85789,0.90975,0.000310453,0.000310453,0.000310453
24,6043.69,1.42171,1.01677,0.94959,0.53559,0.34858,0.45778,0.30761,1.21377,0.85728,0.90905,0.000270435,0.000270435,0.000270435
25,6294.82,1.40841,1.0048,0.94448,0.51793,0.35358,0.44974,0.30611,1.19794,0.85072,0.90378,0.000232306,0.000232306,0.000232306
26,6530.29,1.32098,0.96128,0.94276,0.569,0.322,0.45488,0.31001,1.21967,0.86413,0.90893,0.000196373,0.000196373,0.000196373
27,6764.54,1.31775,0.95197,0.93966,0.57004,0.34063,0.47251,0.32342,1.19008,0.84283,0.90442,0.000162924,0.000162924,0.000162924
28,6999.77,1.32311,0.94972,0.94025,0.5578,0.34531,0.46323,0.31553,1.18924,0.83938,0.90474,0.00013223,0.00013223,0.00013223
29,7236.47,1.29296,0.92151,0.93495,0.5488,0.35871,0.4684,0.3182,1.17554,0.82805,0.90255,0.000104537,0.000104537,0.000104537
30,7470.33,1.30388,0.93732,0.93415,0.57451,0.34951,0.47708,0.32607,1.17178,0.82321,0.90172,8.00678e-05,8.00678e-05,8.00678e-05
31,7704.14,1.30134,0.93816,0.93512,0.56546,0.35339,0.47424,0.32393,1.1719,0.82516,0.89941,5.90204e-05,5.90204e-05,5.90204e-05
32,7942.32,1.27289,0.90778,0.93092,0.5678,0.35485,0.47699,0.32617,1.16539,0.81875,0.8995,4.15637e-05,4.15637e-05,4.15637e-05
33,8177.43,1.26151,0.89885,0.92893,0.57526,0.35588,0.48121,0.32869,1.16253,0.81626,0.89835,2.78384e-05,2.78384e-05,2.78384e-05
34,8413.06,1.2999,0.94801,0.93691,0.57328,0.35751,0.4806,0.32762,1.16169,0.81509,0.89878,1.79549e-05,1.79549e-05,1.79549e-05
35,8648.25,1.28691,0.91445,0.92947,0.5611,0.3628,0.47886,0.32638,1.16285,0.81418,0.89862,1.19927e-05,1.19927e-05,1.19927e-05
