epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,527.815,1.17498,0.66997,0.88651,0.82909,0.39556,0.62035,0.42733,1.19201,0.68353,0.89825,0.0888636,0.00123737,0.00123737
2,1052.96,1.17611,0.67085,0.88701,0.83346,0.42765,0.64026,0.44437,1.18362,0.65319,0.89364,0.0776098,0.00248354,0.00248354
3,1583.13,1.18155,0.67888,0.88879,0.83055,0.39748,0.62213,0.43044,1.18149,0.66913,0.89441,0.0663407,0.00371439,0.00371439
4,2108.83,1.1901,0.68666,0.88828,0.82184,0.43785,0.64135,0.43765,1.19996,0.66374,0.89632,0.0550448,0.00491854,0.00491854
5,2639.72,1.22639,0.70779,0.8936,0.81907,0.40448,0.61815,0.41683,1.23165,0.70362,0.90385,0.0437111,0.00608489,0.00608489
6,3163.82,1.22066,0.70215,0.89354,0.83471,0.36206,0.6024,0.40277,1.27811,0.73661,0.9167,0.032329,0.00720269,0.00720269
7,3687.89,1.24367,0.71652,0.90024,0.77355,0.39415,0.59,0.39421,1.23096,0.72643,0.91131,0.020888,0.00826169,0.00826169
8,4212.93,1.2675,0.72483,0.90232,0.81345,0.33537,0.58085,0.37961,1.36156,0.85995,0.93745,0.0093785,0.00925224,0.00925224
9,4745.42,1.27579,0.76345,0.9063,0.78522,0.34615,0.56904,0.3838,1.29048,0.81107,0.92008,0.00904604,0.00904604,0.00904604
10,5270.63,1.2792,0.76117,0.90269,0.77233,0.38285,0.58211,0.39483,1.23827,0.74343,0.91086,0.00880323,0.00880323,0.00880323
11,5798.58,1.29457,0.7632,0.91068,0.79003,0.3998,0.60159,0.40629,1.20027,0.73093,0.90488,0.008537,0.008537,0.008537
12,6321.69,1.28374,0.76251,0.91046,0.76598,0.41158,0.59317,0.40311,1.21805,0.72552,0.9078,0.00824899,0.00824899,0.00824899
13,6847.2,1.29015,0.77053,0.90683,0.70886,0.252,0.47987,0.32531,1.41033,1.06526,0.96299,0.00794099,0.00794099,0.00794099
14,7375.29,1.26841,0.74613,0.9038,0.77,0.36077,0.56912,0.38137,1.2629,0.74718,0.91612,0.00761488,0.00761488,0.00761488
15,7907.19,1.28051,0.76144,0.90674,0.80339,0.34226,0.57586,0.39178,1.26963,0.7452,0.91721,0.00727268,0.00727268,0.00727268
16,8432.12,1.26351,0.74477,0.90348,0.80863,0.38612,0.60494,0.40941,1.22997,0.71876,0.90921,0.0069165,0.0069165,0.0069165
17,8961.07,1.2537,0.74066,0.90362,0.74371,0.26157,0.50641,0.34765,1.31346,0.90239,0.92973,0.00654854,0.00654854,0.00654854
18,9485.4,1.239,0.72569,0.8982,0.79835,0.40717,0.61008,0.42282,1.1919,0.68827,0.9018,0.00617106,0.00617106,0.00617106
19,10012.3,1.22673,0.72082,0.89784,0.79656,0.37332,0.59169,0.40131,1.242,0.72152,0.90989,0.00578639,0.00578639,0.00578639
20,10538.9,1.20693,0.70962,0.89655,0.82761,0.40439,0.62329,0.42262,1.21422,0.68689,0.90629,0.0053969,0.0053969,0.0053969
21,11065.9,1.22411,0.72204,0.89902,0.82515,0.38504,0.61287,0.41736,1.22981,0.70977,0.90678,0.005005,0.005005,0.005005
22,11589.6,1.22027,0.70051,0.89428,0.82483,0.38419,0.61087,0.41844,1.21119,0.69425,0.90249,0.0046131,0.0046131,0.0046131
