epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1952.71,2.29276,5.56169,1.28137,0.25063,0.15916,0.12169,0.07156,1.74651,4.27731,1.08746,0.0669531,0.000166065,0.000166065
2,3901.5,1.93323,4.16537,1.15096,0.22697,0.21628,0.18608,0.11119,1.49456,3.0667,0.99024,0.0337863,0.00033265,0.00033265
3,5859.27,1.79333,3.66753,1.10227,0.28891,0.25543,0.21696,0.13276,1.44801,2.94264,0.97493,0.000619247,0.000498911,0.000498911
4,7817.54,1.7258,3.47642,1.07917,0.29437,0.26567,0.24082,0.14423,1.45697,2.70588,0.97939,0.000498902,0.000498902,0.000498902
5,9761.16,1.66481,3.29824,1.0621,0.28927,0.30266,0.25511,0.16162,1.31947,2.66121,0.94315,0.000498048,0.000498048,0.000498048
6,11719.1,1.63217,3.22393,1.04876,0.31991,0.31437,0.27248,0.16976,1.33885,2.48145,0.95105,0.000496953,0.000496953,0.000496953
7,13678.7,1.61274,3.125,1.03943,0.31422,0.28709,0.259,0.15153,1.43141,2.71635,0.96325,0.000495616,0.000495616,0.000495616
8,15627,1.57575,3.07892,1.03658,0.31306,0.31299,0.27891,0.17016,1.41348,2.41585,0.96813,0.000494039,0.000494039,0.000494039
9,17594.2,1.59311,3.06817,1.03347,0.33566,0.32406,0.27261,0.17354,1.2742,2.63288,0.93751,0.000492224,0.000492224,0.000492224
10,19548.4,1.56021,2.98794,1.02748,0.33931,0.34377,0.28734,0.18155,1.2775,2.63264,0.9317,0.000490173,0.000490173,0.000490173
11,21490.9,1.51697,2.9046,1.01638,0.33357,0.33861,0.26016,0.16211,1.29747,3.03419,0.93657,0.000487886,0.000487886,0.000487886
12,23461.6,1.52892,2.91454,1.01426,0.3515,0.36331,0.30147,0.19239,1.24255,2.69752,0.92625,0.000485368,0.000485368,0.000485368
13,25434.6,1.50777,2.85672,1.00895,0.31958,0.36562,0.28131,0.17769,1.28685,2.7653,0.93243,0.00048262,0.00048262,0.00048262
14,27403.4,1.51855,2.85368,1.01264,0.36043,0.38663,0.29957,0.17912,1.32026,2.69317,0.93377,0.000479644,0.000479644,0.000479644
15,29355.9,1.48845,2.81125,1.00308,0.37151,0.39389,0.2911,0.18167,1.25575,2.92381,0.92669,0.000476445,0.000476445,0.000476445
16,31293.3,1.48479,2.77966,1.00328,0.42912,0.35729,0.33479,0.21231,1.24873,2.34925,0.9223,0.000473024,0.000473024,0.000473024
